tios_groupid,group_name,base,cow_id1,Education_count,Health_count,Security_count,Financial_count,Disaster_count,PublicServices_count,Religious_count,Total_Service_count,Religious,PublicServices,NatDisaster,FinancialJobsWelfareSubsidies,SecurityJustice,HealthEmergency,EducationYouthRecreation,service_coverage,PctEducationYouthRecreation,pctHealthEmergency,pctFinancialJobsWelfareSubsidies,pctSecurityJustice,pctNatDisaster,pctPublicServices,pctReligious,pctMadrassas,pctTunnels,pctUncertain,service_involvement,top_services,logtotal,logservice_coverage,Total_Service_Normalized,Education_Normalized,Health_Normalized,Security_Normalized,Financial_Normalized,Disaster_Normalized,Public_Normalized,Religious_Normalized,Total_Service_Rank,Total_Service_Percentile,Education_count_rank,Education_count_percentile,Health_count_rank,Health_count_percentile,Security_count_rank,Security_count_percentile,Financial_count_rank,Financial_count_percentile,Disaster_count_rank,Disaster_count_percentile,PublicServices_count_rank,PublicServices_count_percentile,Religious_count_rank,Religious_count_percentile,Total_Service_count_rank,Total_Service_count_percentile,PC_TotalServiceCount,RANK_PC_TSC,Norm_RANK_PC_TSC,PC_Education_count,RANK_PC_Education_count,Norm_RANK_PC_Education_count,PC_Health_count,RANK_PC_Health_count,Norm_RANK_PC_Health_count,PC_Security_count,PC_Financial_count,RANK_PC_Financial_count,Norm_RANK_PC_Financial_count,PC_Disaster_count,RANK_PC_Disaster_count,Norm_RANK_PC_Disaster_count,PC_PublicServices_count,RANK_PC_PublicServices_count,Norm_RANK_PC_PublicServ_count,PC_Religious_count,RANK_PC_Religious_count,Norm_RANK_PC_Religious_count,RANK_PC_Security_count,Norm_RANK_PC_Security_count,TotalNewsCoverage,year
79,Zomi Revolutionary Army (ZRA),India,750,1,0,0,0,0,9,0,10,0,1,0,0,0,0,1,2,.1,0,0,0,0,.89999998,0,0,0,0,10,1,7.2320104,.69314718,.00039013734,.0001440507,0,0,0,0,.001194426,0,20,.9492386,43,.89086294,29.5,.92512691,20,.9492386,20.5,.94796956,41,.89593911,50.5,.87182742,28,.92893404,20,.9492386,.00088341645,20,.05076142,.00092693866,43,.10913706,0,29.5,.074873097,0,0,20.5,.052030455,0,41,.10406091,.0021211707,50.5,.12817259,0,28,.071065992,20,.05076142,1383,1
317,Lebanese Liberation Front,Lebanon,660,4,0,0,1,1,31,0,38,0,1,1,1,0,0,1,5,.10526316,0,.02631579,0,.02631579,.81578946,0,0,0,.02631579,12.666667,1,8.4869404,1.6094379,.0014825219,.00057620282,0,0,.00041946309,.00027196083,.0041141342,0,53.5,.86421317,75,.8096447,29.5,.92512691,20,.9492386,44.5,.88705581,93,.76395941,91,.76903552,28,.92893404,53.5,.86421317,.0033569825,53.5,.1357868,.0037077547,75,.19035533,0,29.5,.074873097,0,.0010580219,44.5,.11294416,.0017153542,93,.23604061,.0073062545,91,.23096447,0,28,.071065992,20,.05076142,4851,3
314,Mujahideen Division Khandaq,"Indonesia, Malaysia",850,0,0,0,0,2,4,0,6,0,1,1,0,0,0,0,2,0,0,0,0,.33333334,.66666669,0,0,0,0,1,1,6.8926415,.69314718,.0002340824,0,0,0,0,.00054392166,.00053085602,0,13,.96700507,19,.95177662,29.5,.92512691,20,.9492386,20.5,.94796956,114,.71065992,29,.92639595,28,.92893404,13,.96700507,.00053004985,13,.032994922,0,19,.04822335,0,29.5,.074873097,0,0,20.5,.052030455,.0034307083,114,.28934011,.00094274251,29,.073604062,0,28,.071065992,20,.05076142,985,6
170,Revolutionary Offensive Cells,Italy,325,0,0,0,1,0,7,0,9,0,1,0,1,0,0,0,3,0,0,.11111111,0,0,.77777779,0,0,0,.11111111,3,1,6.8057227,1.0986123,.0003511236,0,0,0,.00041946309,0,.00092899799,0,17,.95685279,19,.95177662,29.5,.92512691,20,.9492386,44.5,.88705581,41,.89593911,41.5,.89467007,28,.92893404,17,.95685279,.0007950748,17,.043147206,0,19,.04822335,0,29.5,.074873097,0,.0010580219,44.5,.11294416,0,41,.10406091,.0016497994,41.5,.10532995,0,28,.071065992,20,.05076142,903,3
174,al-Intiqami al-Pakistani,n/a,,4,1,0,0,4,50,0,60,0,1,1,0,0,1,1,5,.06666667,.016666668,0,0,.06666667,.83333331,0,0,0,.016666668,60,1,8.1789198,1.6094379,.0023408239,.00057620282,.00027472529,0,0,.0010878433,.0066356999,0,70,.822335,75,.8096447,67,.82994926,20,.9492386,20.5,.94796956,138,.64974618,114,.71065992,28,.92893404,70,.822335,.0053004986,70,.17766498,.0037077547,75,.19035533,.0015975462,67,.17005076,.0015975462,0,20.5,.052030455,.0068614166,138,.35025382,.011784282,114,.28934011,0,28,.071065992,20,.05076142,3565,0
272,Nationalist Kurdish Revenge Teams,Turkey,640,0,6,0,3,0,0,0,9,0,0,0,1,0,1,0,2,0,.66666669,.33333334,0,0,0,0,0,0,0,9,0,7.9384456,.69314718,.0003511236,0,.0016483517,0,.0012583892,0,0,0,17,.95685279,19,.95177662,116.5,.70431471,20,.9492386,69.5,.82360405,41,.89593911,4,.98984772,28,.92893404,17,.95685279,.0007950748,17,.043147206,0,19,.04822335,.0095852772,116.5,.29568529,.0095852772,.0031740658,69.5,.17639594,0,41,.10406091,0,4,.010152284,0,28,.071065992,20,.05076142,2803,0
144,Bagramyan Battalion,Georgia,372,0,0,0,5,0,3,1,10,1,1,0,1,0,0,0,4,0,0,.5,0,0,.30000001,.1,0,0,.1,1.25,1,8.0006847,1.3862944,.00039013734,0,0,0,.0020973154,0,.000398142,.00025853154,20,.9492386,19,.95177662,29.5,.92512691,20,.9492386,91,.76903552,41,.89593911,24,.93908632,64.5,.83629441,20,.9492386,.00088341645,20,.05076142,0,19,.04822335,0,29.5,.074873097,0,.0052901097,91,.23096447,0,41,.10406091,.0007070569,24,.060913704,.0014878738,64.5,.16370559,20,.05076142,2983,8
218,Group of Popular Combatants (GPC),Ecuador,130,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.083333336,0,6.1246834,0,.000039013732,0,0,0,0,0,.00013271401,0,3,.9923858,19,.95177662,29.5,.92512691,20,.9492386,20.5,.94796956,41,.89593911,10,.97461927,28,.92893404,3,.9923858,.000088341643,3,.007614213,0,19,.04822335,0,29.5,.074873097,0,0,20.5,.052030455,0,41,.10406091,.00023568563,10,.02538071,0,28,.071065992,20,.05076142,457,12
44,Resistenza Corsa,"Corsica, France",220,0,0,0,0,0,2,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,.5,0,0,0,.5,4,1,7.0621915,.69314718,.00015605493,0,0,0,0,0,.00026542801,0,9,.97715735,19,.95177662,29.5,.92512691,20,.9492386,20.5,.94796956,41,.89593911,17.5,.95558375,28,.92893404,9,.97715735,.00035336657,9,.02284264,0,19,.04822335,0,29.5,.074873097,0,0,20.5,.052030455,0,41,.10406091,.00047137126,17.5,.044416245,0,28,.071065992,20,.05076142,1167,1
173,Third of October Group,"France, Switzerland",220,0,1,0,0,0,9,0,10,0,1,0,0,0,1,0,2,0,.1,0,0,0,.89999998,0,0,0,0,10,1,6.7202201,.69314718,.00039013734,0,.00027472529,0,0,0,.001194426,0,20,.9492386,19,.95177662,67,.82994926,20,.9492386,20.5,.94796956,41,.89593911,50.5,.87182742,28,.92893404,20,.9492386,.00088341645,20,.05076142,0,19,.04822335,.0015975462,67,.17005076,.0015975462,0,20.5,.052030455,0,41,.10406091,.0021211707,50.5,.12817259,0,28,.071065992,20,.05076142,829,1
